"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"823.8","017037757","Monograph","Language material ; Text","Volume","GBB513785","","9781447286134","Cohen, Morton N. (Morton Norton)","1921-2017","person","author","Cohen, Morton N. (Morton Norton), 1921-2017, author [person]","Lewis Carroll : a biography","","","","England","London","Macmillan","2015","","xxiii, 577 pages, 24 cm","","Carroll, Lewis, 1832-1898 ; Novelists, English--19th century--Biography","Biography","English","Additional physical form: ebook version. 9781447286141 ; Originally published: 1995",""
"823.8","017038772","Monograph","Language material ; Still image ; Text","Volume","GBB514800","","9781784870171","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Westwood, Vivienne, 1941-, illustrator ; writer [person]","Alice's adventures in Wonderland : with, Through the looking-glass and what Alice found there","Alice's adventures in Wonderland ; Through the looking-glass ; Works. Selections","Vintage classics","","England","London","Vintage","2015","150th anniversary edition","xii, 348 pages, black and white illustrations, 1 map (black and white), 22 cm","YKL.2017.a.505","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","",""
"823.8","017038836","Monograph","Language material ; Text","Volume","GBB514864","","9781846558610 ; 9781846558627","Douglas-Fairhurst, Robert","","person","author","Douglas-Fairhurst, Robert, author [person]","The story of Alice : Lewis Carroll and the secret history of Wonderland","","","","England","London","Harvill Secker","2015","","488 pages, black and white illustrations, 25 cm","YC.2015.a.13589","Carroll, Lewis, 1832-1898--Characters--Alice ; Carroll, Lewis, 1832-1898--Themes, motives ; Carroll, Lewis, 1832-1898--Friends and associates ; Hargreaves, Alice Pleasance Liddell, 1852-1934 ; Authors, English--19th century--Biography ; Alice, (Fictitious character from Carroll)","Biography","English","",""
"823.8","017039601","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB515629","","9781447286141","Cohen, Morton N. (Morton Norton)","1921-2017","person","author","Cohen, Morton N. (Morton Norton), 1921-2017, author [person]","Lewis Carroll : a biography","","","","England","London","Macmillan","2015","","1 online resource","ELD.DS.109700","Carroll, Lewis, 1832-1898 ; Novelists, English--19th century--Biography","Biography","English","Additional physical form: Print version. 9781447286134 ; Originally published: 1995",""
"823.8","017039691","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB515719","","9781473510999","Douglas-Fairhurst, Robert","","person","author","Douglas-Fairhurst, Robert, author [person]","The story of Alice : Lewis Carroll and the secret history of Wonderland","","","","England","London","Vintage Digital","2015","","1 online resource","ELD.DS.214193","Carroll, Lewis, 1832-1898--Characters--Alice ; Carroll, Lewis, 1832-1898--Themes, motives ; Carroll, Lewis, 1832-1898--Friends and associates ; Hargreaves, Alice Pleasance Liddell, 1852-1934 ; Children in literature ; Alice, (Fictitious character from Carroll)","","English","Additional physical form: Print version. 9781846558610",""
"823.8","017041420","Monograph","Language material ; Still image ; Text","Volume","GBB6E7244","","9780712356008","Carroll, Lewis","1832-1898","person","author ; illustrator","Carroll, Lewis, 1832-1898, author ; illustrator [person] ; Brown, Sally, 1950 May 14-, writer [person]","Alice's adventures under ground : the original manuscript","Alice's adventures in Wonderland","","","England","London","British Library","2014","","29 pages, 90 pages of plates, illustrations (black and white and colour), 20 cm","YC.2016.a.11083","Carroll, Lewis, 1832-1898--Manuscripts ; Carroll, Lewis, 1832-1898--Criticism and interpretation","Manuscript","English","Originally published 2008, reprinted with new jacket 2014",""
"823.8","017073870","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB522146","","9781509805532","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","Alice's adventures in Wonderland","","","","England","London","Macmillan","2015","Little folks' edition","1 online resource, illustrations","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Additional physical form: Print version. 9781447277781",""
"823.8","017080788","Monograph","Language material ; Still image ; Text","Volume","GBB523794","","9781782010968","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Everson, Michael, 1963-, writer [person] ; Williams, Nicholas, 1942-, translator [person]","Der an gweder meras ha myns a gafas Alys ena","Through the looking glass. Cornish","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2015","","168 pages, illustrations, 22 cm","","Alice, (Fictitious character from Carroll)","Children's fiction","Cornish ; English","Translated from the English",""
"823.8","017104236","Monograph","Language material ; Text","Volume","GBB533281","","9780720618594","Leach, Karoline","","person","author","Leach, Karoline, author [person]","In the shadow of the dreamchild : the myth and reality of Lewis Carroll","","","","England","London","Peter Owen","2015","Revised edition","358 pages, 10 unnumbered pages of plates, illustrations, 22 cm","YK.2017.a.1344","Carroll, Lewis, 1832-1898--Relations with women ; Novelists, English--19th century--Biography","Biography","English","Previous edition: 1999",""
"823.8","017112616","Monograph","Language material ; Text","Volume","GBB536867","","9781782011026","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Kent, Alan M., translator [person]","Alice's ventures in Wunderland","Alices's adventures in Wonderland. English (Cornu-English)","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2015","First edition","xiv, 125 pages, 22 cm","H.2017/.5255","Alice, (Fictitious character from Carroll)","Children's fiction","English","'Cornu-English is that form of English spoken by the majority of native residents in Cornwall' -- page v ; Translated from the English",""
"823.8","017129990","Monograph","Language material ; Still image ; Text","Volume","GBB6K8606","","9781909115989","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","Alice's adventures in Wonderland","","","","England","Poole","Planet","2015","","98 pages, colour illustrations, 27 cm","YKL.2017.b.61","Childrens stories ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
