"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"The wasp in a wig : a 'suppressed' episode of Through the looking-glass and what Alice found there","Through the looking-glass","009613556","Monograph","Language material ; Text","Volume","","","9780517532669","Carroll, Lewis","1832-1898","person","","Guiliano, Edward [person] ; Gardner, Martin, 1914-2010 [person] ; Carroll, Lewis, 1832-1898 [person] ; Lewis Carroll Society of North America [organisation]","","","United States of America","New York","C. N. Potter ; Crown","1977","1st American trade edition","xiv, 21, 16 pages, illustrations, facsimiles, 24 cm","","80/8539","","","English","First printed for the Lewis Carroll Society of North America",""
"The works of Lewis Carroll","","009016141","Monograph","Language material ; Text","Volume","GB6608058","","","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Green, Roger Lancelyn [person]","","","England","London","Hamlyn","1965","","1130 pages, illustrations, 22 cm","526.9","X.909/6702","","","English","Includes letters, essays, mathematical puzzles and the journal of a tour in Russia in 1867",""
"The world of Alice","","011166322","Monograph","Language material ; Text","Volume","GB9818705","","9780853728764","Batey, Mavis","","person","author","Batey, Mavis, author [person]","","","England","Andover","Pitkin","1998","","28 pages, illustrations (some colour), facsimiles, maps, portraits, 25 cm","","YK.2002.a.2465","Carroll, Lewis, 1832-1898 ; Carroll, Lewis, 1832-1898--Settings","","English","Caption title ; Text, portraits and maps on inside covers",""
"Theodorus' irrationality proofs","Assigning driver's license numbers ; Brief lives ; Calculating people ; De propria vita ; Emblems of mind ; George Boole and the calculus of finite differences ; Great mental calculators ; I want to be a mathematician ; Indiana's squared circle ; Is mathematics inevitable? ; Mathematics and mathematicians ; Mathematics and the physical world ; Mathematics in fun and in earnest ; Mathematics made difficult ; On the origin of certain typical problems ; On the set of legs of a horse ; On the value of mathematics (books) ; Problem with postulate 5 ; Quadratic equations ; Quadrature of the circle ; So-called Euler-Diderot incident ; Strong law of small numbers ; Tangled tale ; There are three times as many obtuse-angled triangles as there are acute-angled ones ; Why is a restaurant's business worse in the owner's eyes than in the customers'? ; Why your classes are larger than 'average'","014624775","Monograph","Language material ; Text","Volume","GBA872340","","9780883855669","","","","","Dieudonné, Jean, 1906-1992 [person] ; Synge, J. L. (John Lighton), 1897-1995 [person] ; Hemenway, David, 1945- [person] ; Smith, James, 1805-1872 [person] ; Alexanderson, Gerald L. [person] ; Dudley, Underwood [person] ; Kline, Morris, 1908-1992 [person] ; Hallerberg, Arthur E. (Arthur Edward), 1918-1978 [person] ; Klosinski, Leonard F. [person] ; Sholander, Marlow [person] ; Trudeau, Richard J. [person] ; Smith, Steven Bradley [person] ; Gillings, Richard J. [person] ; Halmos, Paul R. (Paul Richard), 1916-2006 [person] ; Rothstein, Edward, 1952- [person] ; Smith, David Eugene, 1860-1944 [person] ; Carroll, Lewis, 1832-1898 [person] ; Aubry, John [person] ; Linderholm, Carl E. [person] ; McCabe, Robert L. [person] ; Cardano, Girolamo, 1501-1576 [person] ; Guy, Richard K. [person] ; Gallian, Joseph A. [person] ; Ying, Wong Ngai [person] ; Altshiller-Court, Nathan, 1881-1968 [person] ; Cohen, Patricia Cline [person]","Spectrum","","United States of America","Cambridge ; Washington, District of Columbia","Cambridge University Press ; Mathematical Association of America","2008","","x, 325 pages, illustrations, 24 cm","510","YK.2010.a.1281 ; m08/.22488","Mathematics--Miscellanea ; Mathematics--Humor","Humour or satire","English","",""
"There are three times as many obtuse-angled triangles as there are acute-angled ones","Assigning driver's license numbers ; Brief lives ; Calculating people ; De propria vita ; Emblems of mind ; George Boole and the calculus of finite differences ; Great mental calculators ; I want to be a mathematician ; Indiana's squared circle ; Is mathematics inevitable? ; Mathematics and mathematicians ; Mathematics and the physical world ; Mathematics in fun and in earnest ; Mathematics made difficult ; On the origin of certain typical problems ; On the set of legs of a horse ; On the value of mathematics (books) ; Problem with postulate 5 ; Quadratic equations ; Quadrature of the circle ; So-called Euler-Diderot incident ; Strong law of small numbers ; Tangled tale ; Theodorus' irrationality proofs ; Why is a restaurant's business worse in the owner's eyes than in the customers'? ; Why your classes are larger than 'average'","014624775","Monograph","Language material ; Text","Volume","GBA872340","","9780883855669","","","","","Dieudonné, Jean, 1906-1992 [person] ; Synge, J. L. (John Lighton), 1897-1995 [person] ; Hemenway, David, 1945- [person] ; Smith, James, 1805-1872 [person] ; Alexanderson, Gerald L. [person] ; Dudley, Underwood [person] ; Kline, Morris, 1908-1992 [person] ; Hallerberg, Arthur E. (Arthur Edward), 1918-1978 [person] ; Klosinski, Leonard F. [person] ; Sholander, Marlow [person] ; Trudeau, Richard J. [person] ; Smith, Steven Bradley [person] ; Gillings, Richard J. [person] ; Halmos, Paul R. (Paul Richard), 1916-2006 [person] ; Rothstein, Edward, 1952- [person] ; Smith, David Eugene, 1860-1944 [person] ; Carroll, Lewis, 1832-1898 [person] ; Aubry, John [person] ; Linderholm, Carl E. [person] ; McCabe, Robert L. [person] ; Cardano, Girolamo, 1501-1576 [person] ; Guy, Richard K. [person] ; Gallian, Joseph A. [person] ; Ying, Wong Ngai [person] ; Altshiller-Court, Nathan, 1881-1968 [person] ; Cohen, Patricia Cline [person]","Spectrum","","United States of America","Cambridge ; Washington, District of Columbia","Cambridge University Press ; Mathematical Association of America","2008","","x, 325 pages, illustrations, 24 cm","510","YK.2010.a.1281 ; m08/.22488","Mathematics--Miscellanea ; Mathematics--Humor","Humour or satire","English","",""
"Three Bodley Head monographs","E. Nesbit ; Howard Pyle ; Lewis Carroll","010312808","Monograph","Language material ; Text","Volume","GB6813418","","","","","","","Bell, Anthea [person] ; Nesbitt, Elizabeth [person] ; Green, Roger Lancelyn [person]","Bodley Head monographs","","England","London","Bodley Head","1968","","219 pages, 21 cm","823.8","11807.a.2/23 ; X27/2426","Nesbit, E. (Edith), 1858-1924 ; Carroll, Lewis, 1832-1898 ; Authors--Biography ; Pyle, Howard, 1853-1911","","English","'First published, in three individual volume, 1960, 1966. This edition, revised and re-set, 1968.' -- T.p. verso",""
"Three Sunsets, and other poems ... With twelve fairy-fancies by E. Gertrude Thomson","","000617597","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Thomson, E. Gertrude [person]","","","England","London","Macmillan","1898","","68 pages (8°)","","11650.ee.49","","","English","",""
"Three Sunsets, and other poems ... With twelve fairy-fancies by E. Gertrude Thomson","","014635302","Monograph","Language material ; Text","Online resource","","","","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Thomson, E. Gertrude [person]","","","England","London","Macmillan","1898","","68 pages (8°)","","Digital Store 11650.ee.49","","Poetry or verse","English","",""
"Three letters on anti-vaccination (1877)","","012679415","Monograph","Language material ; Text","Volume","GB7630970","","9780904117042","Dodgson, Charles Lutwidge","1832-1898","person","","Crutch, Denis [person] ; Lewis Carroll Society [organisation] ; Dodgson, Charles Lutwidge, 1832-1898 [person]","","","England","Ardbeg Road, Herne Hill, S E 24 ; London","Lewis Carroll Society","1976","","15 pages, 21 cm","614.47","D76/49999 ; X.319/16809","Smallpox--Vaccination--Statistical methods ; Medicine--Vaccination","","English","Limited edition of 150 copies ; These letters originally published: in the 'Eastbourne Chronicle', 1877",""
"Three poems","","010004607","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","University of Leeds, Institute of Bibliography and Textual Criticism [organisation] ; Carroll, Lewis, 1832-1898 [person]","","","England","Leeds","Institute of Bibliography & Textual Criticism, School of English, University of Leeds","1978","","4 pages, 21 cm","","X:950/30236","","","English","",""
